cell_id,cluster_hier_raw,cluster_kmeans_raw,cluster_gmm_raw,cluster_hier_pca,silencing_status,any_bursting_before_silence
0EFZ6A,3,3,1,4,ok,True
1JH4FW,1,0,3,1,ok,True
1OSWY6,1,0,3,1,ok,True
1UI2B6,2,1,1,2,ok,True
2G1HP5,1,0,3,1,ok,True
2OFT1J,3,3,0,4,ok,True
47KQ0Q,2,1,1,1,ok,False
4QSWXH,2,1,1,2,ok,False
5A6WBD,1,0,3,1,ok,True
7PH7A2,1,0,3,1,ok,True
7V3T5U,1,0,3,1,ok,True
8S2OZ8,3,3,0,4,ok,True
8WP311,2,1,1,1,unsettled,True
8Z3ESD,1,0,3,1,unsettled,True
9GBDEX,2,1,1,1,unsettled,False
9HOVGA,2,1,1,2,unsettled,False
D2UZAL,1,0,3,1,ok,False
DFJ1K3,4,2,0,4,ok,True
DRHJWT,2,1,1,2,unsettled,True
DYWMU6,2,1,1,2,unsettled,True
E6I4UX,2,1,1,1,unsettled,True
E8VWR1,2,1,1,2,ok,True
ENIDBY,1,0,3,1,unsettled,True
ERN9ZE,3,3,1,4,unsettled,True
F6UHH2,2,1,1,2,ok,True
GN8RC7,3,3,0,4,ok,True
GZ8ILK,3,3,0,4,ok,True
HINVDL,4,2,2,3,ok,True
HRVUHK,1,0,3,1,ok,True
HRWDJP,2,1,1,2,ok,False
KWI6P1,3,3,0,4,ok,True
LQMEXO,1,0,3,1,unsettled,True
NJD9YX,3,3,2,4,ok,True
OIDWYV,3,3,0,4,unsettled,True
PB5T30,1,0,3,1,ok,True
PQJ7GU,1,0,3,1,unsettled,False
PWLDD3,4,2,2,3,ok,False
PYFY3Y,3,3,1,4,unsettled,True
QUXTOD,2,1,1,2,unsettled,False
QVVQF5,4,2,2,3,ok,True
RUZXAL,2,1,1,2,ok,True
S7CS0A,4,2,2,3,unsettled,True
T47IGK,2,1,1,2,ok,False
U2D334,1,0,3,1,ok,False
UMBN9G,2,1,1,1,ok,False
UREJI5,2,1,1,2,ok,False
V62KEJ,2,1,1,2,ok,False
VC08B6,1,0,3,1,unsettled,True
VL1JX8,1,0,3,4,ok,True
VVUJQX,3,3,0,4,ok,True
W0E22J,2,1,1,2,unsettled,True
WTRVMK,2,1,1,2,ok,False
WX7CJ9,1,0,3,1,unsettled,False
X162VQ,2,1,1,2,ok,True
X35MIM,2,1,1,2,ok,True
X6BMH5,3,3,0,4,unsettled,True
XB2IQX,2,1,1,2,ok,True
XK16MB,1,0,3,1,ok,True
ZE23IV,1,0,3,1,unsettled,True
ZKYG58,2,1,1,2,ok,True
ZY2M18,2,1,1,2,ok,False
