,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35
gNa,0.2755049401366258,0.03560431903005417,0.019229489804219617,0.1247569426765253,0.10262600121744453,0.09214095347689101,0.08595812137750052,0.06936847067919336,-0.04262765734495691,0.05240517073361512,-0.07699557515506913,0.16327058883554316,0.03920126084154788,0.092504194516236,-0.0003772711974005886,-0.05922766782472581,-0.11413755581922129,-0.0038960233977075906,-0.1257608519546608,-0.008752800675376685,0.036978355701536715,0.06102900213204603,0.15620367606839955,-0.08821860104322524,0.041607660656811846,-0.07893069949595655,-0.20464860791123482,-0.03654049782972679,-0.03667183214599245,0.6527942768819951,-0.4969677483792811,-0.14178430150579222,-0.04490392066120849,0.104660408806232,-0.0
gKCa,0.04736699406498973,0.2871762147211509,0.11814716826157562,-0.11101854372123332,0.14500114013584328,0.029799514442891903,-0.351480530133044,0.07140681580991615,0.10593514578501026,0.13246542727604974,0.13373658866448937,-0.026389109083936463,0.002482646121140084,0.08632915217506082,-0.02676944958762442,0.11200795248087578,-0.2780745074667534,-0.0639538376796825,-0.30954061399922295,-0.2250323543949937,0.1099057352610865,-0.18171232474131865,0.3377940843786683,0.02171055047591325,-0.3845905721587732,-0.10164752016463934,-0.006508043568689975,-0.14554952034722377,0.28992226898277806,-0.10171011308872643,0.03823041466962975,0.08381879430348464,-0.016165770559519982,-0.014703632479922499,6.804363968294905e-17
gKd,0.2640496498966632,0.06046079188930268,0.027539868475403333,0.0851306981565032,0.12318263567469215,0.008063215997281596,0.13124376987141584,0.07945167628673382,-0.03705048062703515,0.18248835001688904,0.1696057298127125,0.02845025169616341,0.06497325956608568,0.12099664419571504,0.03995959279045691,-0.09505123376654846,-0.28731516098067567,0.08241675209470636,0.06350757213411051,-0.03400653001906893,-0.06873151153679276,-0.05913382641753564,-0.17044202384808502,0.5433073162780775,0.15542833465164033,0.13692628094301762,0.19336733272987588,-0.0440045395928576,-0.05580311261710279,-0.3289035497738774,-0.36962584079125427,-0.0062575218132956785,-0.08108921144042044,-0.1494884774063761,2.647170178244554e-16
gCaT,0.27201598837461244,0.04520308506968619,0.052917399861590005,0.10717455570136998,0.11135243195580061,0.072618633480064,0.11798168005714998,0.0850207117820107,-0.06174224418923409,0.14770862460260648,0.06134137647819939,0.08317602702779099,0.01372699854998983,0.06026418233639169,0.027059824271779134,-0.15089604717395802,-0.16564922217654088,0.030928031373500753,0.008238377429213413,0.0026332512636842616,-0.030903825486483048,0.010120431686736117,-0.030194340326454856,0.2383630277044934,0.10218211766463808,0.06660701567265295,0.08056491929374016,0.16695517114109062,0.1307820450760023,0.2824062684961273,0.6647535821465368,0.03564436518542968,0.13967793963022462,0.3334497886214283,-5.305043944620761e-16
gA,0.2329697884152516,0.039490147621641714,-0.08659232099958628,0.10454922337741542,-0.0151996241425814,-0.008091307953984163,-0.0016345930220227768,-0.14629350483997722,0.022801202614957723,0.2824933975417108,0.3717563391909797,0.16061312055952276,-0.3887756680963831,0.013181015749490932,0.10698632972461886,0.3848725964450737,0.2434257439083108,0.29777912979750776,0.20044231194438292,-0.08620898095665958,0.26942337931114085,0.2569156540242492,0.05076405030458687,-0.09371035045597849,-0.008064187517356282,-0.015298141020629496,-0.01704742590447542,-0.02119093552725937,0.013802032819100142,-0.03386811734143597,0.012990155725771642,0.012749001200556255,-0.01297557333251416,-0.021309490945822275,4.7208884923248134e-17
gL,0.22493945723348435,0.11878452040025098,-0.15590881087052003,0.11763602111886932,0.1039521063174288,-0.06123028977261513,0.20565915668069107,-0.06263569147394875,-0.03221666481544196,-0.1309801742804291,-0.11081269650004405,0.28438857393041717,0.28529858834140803,0.16790866763858325,-0.12656694523635836,-0.15044651365046463,0.02141308716055865,-0.051268525962032636,-0.22187711809834337,-0.02521734209281237,0.09954110058693667,0.39528938188562573,0.1679214259284675,-0.17237799742388693,0.07032742360954977,-0.1007122343237675,-0.08706286089304488,0.10036721875594595,0.03125708375762099,-0.24258719507281962,0.16686239990586868,0.14155062164158644,-0.05283552969362932,-0.3956199345405226,4.629280898375592e-16
gH,0.18032951906782907,-0.03494284938397519,0.17854386760044264,0.07661366292945165,0.2684536400318539,0.2354171900295164,-0.057942041631061564,0.35497344800331776,0.13607055180746871,-0.03893183543022752,-0.3387000544102265,-0.20764429872718354,-0.005311421464835719,-0.24639646708394175,0.06548776048150738,0.08815759170546537,-0.0024516984107929973,0.4415652363515216,-0.12258683761885694,0.0700181614934969,-0.10784137004758994,0.25085806970550717,-0.027281443271779376,-0.1970318381013026,-0.07197070247712463,0.1568200663779438,0.05708805002467631,0.033370801645093116,-0.015456274606810871,-0.19986366334733643,-0.04386649721398249,-0.012062028545041396,0.04134147829932526,0.11767125270399093,-2.0621341655007862e-16
gImi,0.26646558938768267,-0.00043573868653145524,-0.07606762423337954,0.05597318680129796,-0.04784742065726685,-0.0034132153186010464,0.026957036193451505,-0.28845599934998206,0.13220434679391688,0.0024868562889012492,0.06003891314811579,0.12517794515575897,0.012915353118755787,0.08401651604260209,-0.003445038179988553,-0.186467077763996,-0.10169459777775272,-0.15274856117465252,-0.08666732738183193,0.17128243511160032,0.10682829945669736,-0.14805155040304768,-0.06456564036524802,-0.3431211332102193,-0.06658156093797024,0.066775308930071,-0.005854016188449272,-0.04519279674890009,-0.15277549433735751,-0.37780009619529525,-0.11845943403090567,-0.07604881768984734,0.11110566882145032,0.5657902190304929,-7.783647905569159e-16
gCaS,0.13579439558493098,0.14042718751642397,-0.18535662920611057,-0.0566850836386791,0.1571917415523938,-0.371512597256474,0.15568545506123296,-0.14638416586979788,0.2707945799287317,0.1351121545562311,0.1078869941777009,-0.21566925130102363,0.36592366644330404,-0.3669478746077615,-0.3468303606939957,0.13647048810095347,0.16816129749495973,0.1308214183902416,0.03930294200418408,0.060356858155729276,-0.09518683865212013,-0.1639394776940129,0.20521031722034042,0.06323055393806003,0.04626515009970545,0.1042537565704942,-0.018298354524963343,-0.008500170995881929,-0.02326236802513664,0.09539838474429746,-0.0025043447834721374,-0.035929252711531995,0.011189664733404617,0.039515838922976956,-5.559832999289634e-17
baseline_freq_hz,0.17767144287098352,-0.28131085147579155,-0.011823891173566156,-0.008319723739128426,-0.05053549660118236,0.014355280203687119,0.05837793362971055,-0.06905120154690067,0.09981765554390663,-0.004493308270245443,-0.06680763812939451,-0.11562101975464592,-0.02515987415520562,-0.038325409263159985,0.040058836044262656,-0.02908728215896443,0.018912905331959547,-0.08877764715928892,0.0204743850318122,0.04954514631224578,-0.02615005152701924,0.052933958055537585,0.03174599278860591,0.03530265674177249,0.0038753575774183066,-0.1627517816749661,0.01563141814214213,-0.12127734473252627,0.37444052012732393,-0.07723591318771113,0.11818115458496999,-0.4371599479339092,-0.65888013106378,0.04588882051150667,1.460958887498737e-15
