cell_id,gNa,gKCa,gKd,gCaT,gA,gL,gH,gImi,gCaS
0EFZ6A,99.95,4.709,58.160000000000004,1.8679999999999999,4.6579999999999995,0.1053,3.415,0.076933,0.827
0U928C,79.41,9.001,99.42999999999999,1.4349999999999998,6.867999999999999,0.0732,3.969,0.010999,0.748
1JH4FW,204.5,2.450000047683716,438.0,9.949999809265137,31.149999618530277,0.1700000017881393,4.800000190734863,0.4297899901866913,1.25
1OSWY6,288.5,5.25,439.0,13.05,0.3,0.385,9.75,0.4497799999999999,0.25
1UI2B6,84.08,3.6020000000000003,86.11,1.853,3.3339999999999996,0.012,7.930000000000001,0.076933,0.7879999999999999
2EXYPV,275.5,10.100000381469728,463.5,12.199999809265137,21.600000381469727,0.915000021457672,5.300000190734863,0.2898600101470947,3.3499999046325684
2G1HP5,337.5,10.600000381469728,458.5,15.649999618530272,30.350000381469727,0.2849999964237213,23.899999618530277,0.3898099958896637,1.350000023841858
2OFT1J,308.5,15.449999809265137,494.0,12.75,19.5,0.4099999964237213,17.25,0.2698700129985809,0.4000000059604645
47KQ0Q,94.15,0.705,58.07,0.721,7.285,0.0851,9.151,0.17383600000000002,1.262
4QSWXH,79.12,7.351,91.82000000000001,1.2839999999999998,6.444,0.0825,3.739,0.066943,0.245
5A6WBD,252.5,7.35,288.5,9.7,47.55,0.345,5.55,0.58971,0.35
7PH7A2,313.0,1.2999999523162842,467.0,13.850000381469728,33.75,0.8700000047683716,5.800000190734863,0.5297399759292603,4.400000095367432
7V3T5U,251.5,5.199999809265137,297.0,9.100000381469728,32.5,0.4250000119209289,7.0,0.5497300028800964,0.4000000059604645
8S2OZ8,267.5,15.800000190734863,488.0,11.699999809265137,33.5,0.8399999737739563,6.150000095367432,0.3498300015926361,7.800000190734863
8WP311,97.59,0.433,45.65,1.399,4.026,0.0062,4.945,0.078931,0.02
8Z3ESD,269.0,2.400000095367432,477.5,14.149999618530272,26.850000381469727,0.0750000029802322,18.5,0.3298400044441223,0.5
92V6VV,259.5,9.100000381469728,440.5,11.850000381469728,21.899999618530277,0.9350000023841858,2.5,0.4297899901866913,4.650000095367432
9GBDEX,96.06,1.705,68.15,1.147,7.9479999999999995,0.0322,6.069,0.12888100000000002,0.237
9HOVGA,83.73,2.8834,41.997,0.8504,7.3497,0.08243,1.1500000000000001,0.1312786,0.601
D2UZAL,262.5,0.0,461.5,12.350000381469728,24.649999618530277,0.3899999856948852,19.100000381469727,0.2298900038003921,2.0999999046325684
DFJ1K3,81.11,9.495000000000001,89.73,1.6070000000000002,5.497,0.0736,3.6270000000000002,0.01,0.7979999999999999
DRHJWT,92.99,1.701,83.11,1.836,6.812,0.0412,4.255,0.026983,0.05
DYWMU6,97.99,0.133,45.65,1.329,9.026,0.0062,4.945,0.078931,0.04
E6I4UX,97.59,0.433,45.65,1.399,4.026,0.0062,4.945,0.078931,0.02
E8VWR1,91.47999999999999,3.0149999999999997,99.53999999999999,1.815,8.357,0.0527,3.281,0.06094900000000001,0.661
ENIDBY,347.0,1.2000000476837158,417.0,14.399999618530272,13.100000381469728,0.8500000238418579,11.800000190734863,0.4497799873352051,2.200000047683716
ERN9ZE,84.6,7.835,61.27,1.5270000000000001,2.141,0.0227,2.525,0.035974,0.535
F6UHH2,91.28,4.615,96.59,1.815,8.357,0.0507,3.4810000000000003,0.050959000000000004,0.611
GN8RC7,338.0,12.2,407.5,15.1,18.85,0.6,7.6,0.1099499999999999,0.8
GZ8ILK,349.0,12.4,458.0,13.4,47.6,0.915,7.399999999999999,0.3098499999999999,3.05
HINVDL,83.401,1.0534000000000001,42.368,0.9654,3.2956000000000003,0.08246,2.3156,0.0314785,0.6112
HKD573,280.0,12.149999618530272,477.0,12.399999618530272,15.100000381469728,0.8100000023841858,12.100000381469728,0.2099000066518783,2.400000095367432
HNMRP0,255.0,5.8500000000000005,479.5,10.65,45.85,0.98,10.55,0.2298899999999999,12.8
HRVUHK,344.0,1.7000000476837158,321.0,10.699999809265137,41.54999923706055,0.8799999952316284,9.399999618530272,0.5297399759292603,2.0
HRWDJP,92.91,1.971,44.21,0.999,6.593999999999999,0.1008,3.6580000000000004,0.098911,0.07400000000000001
KWI6P1,95.812,6.497000000000001,79.97999999999999,1.5701999999999998,7.681900000000001,0.25074,2.0866000000000002,0.16704280000000002,1.7723
LQMEXO,254.5,0.05,479.0,12.1,28.000000000000004,0.39,6.25,0.3698199999999999,1.5
MXIC4S,337.0,11.949999809265137,473.5,14.899999618530272,49.79999923706055,0.9100000262260436,10.0,0.2698700129985809,2.0
NC3X8D,251.0,5.349999904632568,279.0,8.399999618530273,43.59999847412109,0.9800000190734864,16.299999237060547,0.2298900038003921,6.349999904632568
NJD9YX,79.80000000000001,9.773,83.12,1.394,2.8649999999999998,0.0802,1.2389999999999999,0.051958,0.609
OIDWYV,271.5,17.5,392.5,10.399999618530272,39.45000076293945,0.5550000071525574,3.799999952316284,0.2898600101470947,1.2999999523162842
PB5T30,342.0,0.05,430.5,13.4,1.5,0.795,19.3,0.26987,0.3
PQJ7GU,229.0,0.25,325.5,10.050000190734863,45.20000076293945,0.209999993443489,4.650000095367432,0.2498800009489059,0.050000000745058
PWLDD3,77.16,5.994000000000001,71.21,1.517,1.183,0.0378,1.134,0.025984,0.039
PYFY3Y,84.6,7.835,61.27,1.5270000000000001,2.141,0.0227,2.525,0.035974,0.535
PZ3ZIH,79.41,9.001,99.42999999999999,1.4349999999999998,6.867999999999999,0.0732,3.969,0.010999,0.748
QUXTOD,95.742,0.0051,43.714999999999996,0.9672999999999999,8.2413,0.14049,1.3182,0.22168810000000003,0.0397
QVVQF5,77.16,5.994000000000001,71.21,1.517,1.183,0.0378,1.134,0.025984,0.039
RUZXAL,93.05,4.672,76.61,1.81,5.989,0.0355,3.8850000000000002,0.052957000000000004,0.10999999999999999
S7CS0A,72.44,4.8759999999999994,81.83,1.231,7.725,0.0794,3.408,0.014995000000000001,0.577
T47IGK,96.64,1.8809999999999998,44.01,0.999,5.875,0.1078,3.6820000000000004,0.088921,0.054000000000000006
U2D334,315.0,0.1000000014901161,415.0,10.0,49.400001525878906,0.7900000214576721,41.20000076293945,0.5297399759292603,3.0
UMBN9G,93.2,3.045,68.84,0.7489999999999999,2.788,0.0414,9.126,0.123886,1.022
UREJI5,95.746,4.7051,40.675,0.9513,7.2402999999999995,0.14088,1.3549,0.2311786,0.30970000000000003
V62KEJ,84.59,3.5149999999999997,71.67999999999999,1.2570000000000001,7.598000000000001,0.0216,3.9850000000000003,0.106903,0.26
VC08B6,373.0,11.649999618530272,493.5,16.899999618530273,28.799999237060547,0.4099999964237213,39.79999923706055,0.2898600101470947,0.1000000014901161
VL1JX8,212.0,4.7,499.5,12.35,41.3,0.2149999999999999,5.9,0.2298899999999999,0.25
VVUJQX,98.89,8.383000000000001,86.95,1.7249999999999999,7.465000000000001,0.1457,8.879,0.10890100000000001,1.9289999999999998
W0E22J,70.03,8.600999999999999,99.32,1.4580000000000002,6.497000000000001,0.0061,2.9110000000000005,0.072937,0.529
WTRVMK,92.91,1.971,44.21,0.999,6.593999999999999,0.1008,3.6580000000000004,0.098911,0.07400000000000001
WX7CJ9,275.5,4.800000190734863,426.5,10.899999618530272,48.70000076293945,0.8199999928474426,2.400000095367432,0.8695700168609619,1.399999976158142
X162VQ,98.13,4.2620000000000005,63.6,1.4660000000000002,6.143999999999999,0.0074,5.7540000000000004,0.10890100000000001,0.312
X35MIM,91.11,1.81,69.85,1.5579999999999998,9.505,0.0285,3.173,0.086923,0.22999999999999998
X6BMH5,98.397,6.1159,75.088,1.9463,7.4729,0.26233,1.1854,0.1330768,1.0773000000000001
XB2IQX,80.16,9.008000000000001,75.57000000000001,1.213,2.941,0.0025,2.741,0.084925,0.41500000000000004
XK16MB,257.0,8.800000190734863,485.0,11.449999809265137,40.45000076293945,0.4399999976158142,11.850000381469728,0.5297399759292603,8.050000190734863
ZE23IV,347.0,6.1,290.0,9.8,18.6,0.335,39.35,0.4697699999999999,2.45
ZKYG58,91.28,4.615,96.59,1.815,8.357,0.0507,3.4810000000000003,0.050959000000000004,0.611
ZY2M18,79.88,9.948,78.23,1.089,4.946,0.052,3.61,0.047962000000000005,0.48
